id,Course,Year,Company_Name,Postal_Code,City,Country,Subject,Pay_Details,Student_id
,ING3,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,knowledge management. Gestion et optimisation,1437.5,79363024
,QFRM2,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,"Au sein de l'quipe d'Arbitrage du ple Fixed Income de la SOCIETE GENERALE, vous participez au dveloppement d'un automate de trading en C# et VBA. Vous devez reprendre les mthodes de dveloppement existantes, et poursuivre l'analyse ainsi que l'implmentation de l'algorithme d'arbitrage. Une bonne connaissance de la programmation objet est requise ainsi que de bonnes connaissances en mathmatiques financires. Le stage impose une confidentialit sur le rapport en relation avec les techniques qui y seront dveloppes. Ce stage vous permettra: - D'approfondir vos comptences techniques en dveloppant un outil d'excution d'ordres de trading. - D'approfondir vos connaissances sur les produits Fixed Income et sur les techniques d'arbitrage.",1250,63651028
,QFRM2,2013/2014,SOCIETE GENERALE,75886,PARIS CEDEX 18,FRANCE,Dveloppement d'outils sur VBA/Excel pour les agents front office en salle de march,1250,77590879
,ING2,2013/2014,NUXEO,75892,PARIS CEDEX 18,FRANCE,"Le stagiaire sera intgr  l'quipe marketing afin de participer aux diverses activits d'vanglisation ncessaire chez un diteur logiciel (rdaction et relecture de contenu techniques, ralisation de vidos, organisation de meetup ou de webinaire). En filigrane il ralisera une application JavaScript/HTML5 avec une approche de dveloppement itrative, ceci de la phase de conception  la ralisation. Cette application base sur Nuxeo aura pour but de fdrer les profils utilisateurs des diffrents sites internet communautaire de Nuxeo.",436.05,26800233
,ING2,2013/2014,OPENHEADEND,77176,SAVIGNY LE TEMPLE,FRANCE,Systme de diffusion de chanes de TV.,500,35686985
,ING2,2013/2014,OPENHEADEND,77176,SAVIGNY LE TEMPLE,FRANCE,Supervision de chanes TV,500,99608187
,ING2,2013/2014,OPENHEADEND,77176,SAVIGNY LE TEMPLE,FRANCE,"Interface web d'administration La mission sera de concevoir et dvelopper une nouvelle interface Web permettant d'administrer et de configurer les produits de l'entreprise, en collaboration directe avec le directeur technique: cration et modification dynamiques du workflow schmatisant les blocs logiques de traitement, dcoupage de flux video avec pr visualisation, affichage des logs, etc. L'interface actuelle est dveloppe en HTML/jQuery. Bonne connaissance de HTML et Javascript, d'un Framework type jQuery.",500,46929255
,ING2,2013/2014,LOBELLIA CONSEIL,77630,BARBIZON,FRANCE,"1. Apprentissage de la mthodologie de mise en uvre d'un projet dcisionnel sur les dimensions:  - Mthodologie et spcificits de la dmarche  - Technologie et contraintes d'infrastructure 2. Mise en pratique par la participation aux travaux de spcifications et mise en uvre sur les fonctions d'alimentation et de restitution (spcifications techniques, dveloppement et tests, recette client et mise en production). Le stagiaire prendra notamment en charge une partie d'un module mtier (avec l'assistance du CP ou d'un dveloppeur senior).  a. Chargement/alimentation du DWH  b. Reporting  c. Analyse 3. Participation  la mise  jour/rdaction des guides utilisateurs et administrateur",900,24272561
,ING3,2013/2014,EURO DISNEY ASSOCI SCA,77700,SERRIS,FRANCE,Analyse de donnes et automatisation,1273,79630166
,ING2,2013/2014,PEUGEOT CITROEN AUTOMOBILE,78092,POISSY CEDEX 09,FRANCE,Assister le responsable gestion des ventes  particuliers en France dans le suivi et contrle des participations verses au rseau des succursales et des concessionnaires. Vous serez en charge de l'amlioration de la base de donnes servant  calculer les primes et  l'automatisation des contrles de ces participations pour la recherche d'anomalies.,800,54744062
,ING2,2013/2014,PEUGEOT CITROEN AUTOMOBILE,78092,POISSY CEDEX 09,FRANCE,"Domaine: Mtrologie Analyse capacitaire et performances - Aide  la mise en uvre de solutions de prventiel - Utilisation d'un progiciel de modlisation statistique pour anticiper le dysfonctionnement des serveurs  --> recherche de rupture de comportement, recherche de pistes prioritaires  --> exploration de nouvelles voies d'utilisation Ce sujet s'adresse  un tudiant en mathmatiques/statistiques appliques.",800,69573216
,ING2,2013/2014,PEUGEOT CITROEN AUTOMOBILE,78092,POISSY CEDEX 09,FRANCE,Ralisation d'une base de donnes pour le chiffrage des outillages. Cette base devra: - fonctionner sous Excel (VBA) - permettre le classement et la slection des chiffrages - permettre la comparaison des chiffrages entre eux  partir d'une cl de slection - tre compatible d'un fonctionnement en rseau.,800,54443888
,ING2,2013/2014,PEUGEOT CITROEN AUTOMOBILE,78092,POISSY CEDEX 09,FRANCE,"- Formaliser un ou plusieurs plans de traitement des donnes issues de tests utilisateurs, rdiger des fiches de synthse dtaillant les mthodologies. - Participer aux tests organiss par l'quipe, proposer des protocoles de recueil de donnes. - Travail",800,85056430
,ING2,2013/2014,ASTRIUM,78133,LES MUREAUX CEDEX,FRANCE,0,700,72229209
,ING2,2013/2014,DASSAULT SYSTEMES,78140,VELIZY VILLACOUBLAY CEDEX,FRANCE,Ingnieur Dveloppement WEB - Mesurer la qualit d'une plateforme Web,650,58737656
,ING2,2013/2014,DASSAULT SYSTEMES,78140,VELIZY VILLACOUBLAY CEDEX,FRANCE,"L'opration entre deux modles complexes conduit parfois au traitement de deux objets 3D lmentaires identiques. L'objectif est de bnficier au maximum (en performance et robustesse) de cette configuration. Les tapes de la mission seront donc de : - Dtecter parmi nos oprateurs, ceux qui peuvent correspondre  cette situation,  - Expertiser l'efficacit du traitement actuel et si ncessaire, proposer des amliorations spcifiques; - Coder les principales amliorations proposes,  - Dvelopper les optimisations algorithmiques, les tester et les valider. Plusieurs exemples industriels, pouvant bnficier de ce travail et orienter la mission, ont dj t identifis. Au quotidien, le stagiaire sera intgr dans l'quipe de oprateurs Boolens. Il travaillera dans un environnement de dveloppement C++ sous Windows. Et il s'initiera aux outils et processus industriels de dveloppement de l'entreprise.",650,86095674
,ING2,2013/2014,DASSAULT SYSTEMES,78140,VELIZY VILLACOUBLAY CEDEX,FRANCE,"Ingnieur Mathmatiques Appliques ""Mthodes d'optimisation linaire mixte""",650,28135429
,ING2,2013/2014,DASSAULT SYSTEMES,78140,VELIZY VILLACOUBLAY CEDEX,FRANCE,Ingnieur Dveloppement C++ - Recherche de traces d'intersection manquantes,650,22424085
,ING2,2013/2014,DASSAULT SYSTEMES,78140,VELIZY VILLACOUBLAY CEDEX,FRANCE,"Ingnieur Dveloppement JAVA J2EE, outil de collecte et analyse de traces",650,21680249
,ING3,2013/2014,DASSAULT SYSTEMES,78140,VELIZY VILLACOUBLAY CEDEX,FRANCE,Ingnieur dveloppement C++: design modulaire en contexte automobile,920,11560326
,ING3,2013/2014,DASSAULT SYSTEMES,78140,VELIZY VILLACOUBLAY CEDEX,FRANCE,Ingnieur Mathmatiques Appliques - Suppression de congs tri-tangents,920,69957184
,ING3,2013/2014,DASSAULT SYSTEMES,78140,VELIZY VILLACOUBLAY CEDEX,FRANCE,Ingnieur Dveloppement logiciel Cloud Oprations & Data Analytics,920,98952015
,ING3,2013/2014,DASSAULT SYSTEMES,78140,VELIZY VILLACOUBLAY CEDEX,FRANCE,"Ingnieur Dveloppemetn Web - Gestion Cycle de Vie d'Informations des Contenus Rseaux Sociaux : Dfinition de la gestion, Etude des diffrents enjeuxavec les diffrents acteurs, spcifications des solutions retenues, dveloppement de la solution et intgration dans le service Cloud.",920,15601836
,ING3,2013/2014,DASSAULT SYSTEMES,78140,VELIZY VILLACOUBLAY CEDEX,FRANCE,"Ingnieur Dveloppemetn Web - Interface Web de Configuration de la Plateforme 3DExperience : Dvelopper une interface web pour la console de configuration. Analyse pralable de l'interface existante puis spcifier, concevoir et implmenter la nouvelle interface. Rdiger les documents de spcification et de conception.",920,88685845
,ING2,2013/2014,AMIZEN,78140,VELIZY-VILLACOUBLAY,FRANCE,"Le but du stage est de repenser et recrer l'exprience utilisateur du site internet existant. Le stagiaire sera donc principalement focalis sur le dveloppement ""front-end"" du site web, en utilisant les nouvelles technologies (HTML5, CSS3, JavaScript).",436.05,98444986
,ING3,2013/2014,THALES SERVICES - VELIZY VILLACOUBLAY,78141,VELIZY VILLACOUBLAY,FRANCE,"Stage Service Delivery Manager - Assurer l'interface oprationnelle des clients et des quipes de production; - Piloter des plans d'amlioration continue permettant de rsoudre les problmes rencontrs, d'anticiper d'ventuelles difficults; - Coordonner les projets d'volution du lot; - Organiser le suivi et l'analyse des cot de production; - Garantir la qualit de service auprs des clients et du respect des engagements (SLAs, contrats) confomment  l'tat de l'art (ITIL).",1200,95705442
,ING2,2013/2014,LABORATOIRE NATIONAL DE MTROLOGIE ET D'ESSAIS,78197,TRAPPES CEDEX,FRANCE,"Dveloppement de systmes d'analyse de donnes, Design, constitution et cration de base de donnes (texte, audio, vido, image), Analyse de donnes avec utilisation des rseaux de neurones.",850,99390168
,ING1,2013/2014,LEKA,78240,CHAMBOURG,FRANCE,Dveloppement systme embarqu pour robot sphrique  destination des enfants autistes,600,9965418
,ING2,2013/2014,ATEXIA SOFTWARE,78300,POISSY,FRANCE,"Conception d'un logiciel client Windows Mobile 8.1 connect au serveur SOLAR, sur les mmes bases techniques que les applications iOS et Android existantes.",436.05,17236045
,ING3,2013/2014,TALAN SOLUTIONS,75116,PARIS,FRANCE,"- Connaissance technologique sur les solutions en place (Cognos, Datastage, TM1, Oracle, CDC, ...) - Analyse d'impact (2 projets de migration ambitieux seront en cours au moment du stage) - Comparaison d'architecte dcisionnelle - Ralisation de dveloppe",1400,43365586
,ING3,2013/2014,TALAN SOLUTIONS,75116,PARIS,FRANCE,"Vous serez intgr au sein d'une quipe EXL experte de 3 personnes: 1 Chef de Projet, 1 consultant Talend et un consultant SAP BI4. Vous monterez petit  petit en comptences sur les tches suivantes: - Industrialisation de l'alimentation des donnes via l'ETL Talend - Restitution des donnes via SAP BI4 Outre les aspects de ralisation, le stage comportera galement des aspects de rdactions de documents fonctionnelles et techniques. Vous aurez, de plus, l'occasion de vous approprier l'environnement fonctionnel du client; notamment celui des Ressources Humaines dans le secteur Public.",1400,68136584
,ING2,2013/2014,SIGMA GESTION,75116,PARIS,FRANCE,Gestion du Portefeuille de Sigma Gestion (150 millions d'euros) en collaboration avec les investisseurs employs dans l'entreprise. Optimisation de leur systme de rcupration d'information Bloomberg en VBA.,700,66655451
,ING3,2013/2014,TALENCE GESTION,75116,PARIS,FRANCE,"Talence Gestion est une socit de gestion. Elle gre pour compte tiers des portefeuilles (gestion sous mandats) et des fonds (gestion collective). La gestion pour compte tiers est soumise  des contraintes rglementaires et statuaires, appeles rgles de portefeuille. Pour vrifier que les fonds et les portefeuilles respectent  chaque instant ces rgles, Talence Gestion a acquis un progiciel JUMP permettant de les calculer et de les vrifier. L'objectif du stage sera de mettre  jour, de vrifier et d'amliorer l'ensemble des contrles de portefeuille au sein de l'outil JUMP. Une analyse de l'existant, du fonctionnement actuel et du rfrentiel JUMP sera effectue. Le projet d'amlioration des contrles effectus au sein de la socit fera galement partie de l'objectif du stage. En particulier, les contrles et les indicateurs de risques calculs en dehors de l'outil seront galement tudis pour dterminer ceux pouvant tre rintgr et optimiss.",900,12095833
,QFRM2,2013/2014,AWALEE CONSULTING,75116,PARIS,FRANCE,CDI: Consultant MOA Finance,0,5647229
,ING2,2013/2014,HSBC - PARIS,75419,PARIS CEDEX 8,FRANCE,"Ingnieur Dveloppement: Intgr au sein de l'quipe de dveloppement, la principale mission sera: - de faire voluer l'intranet existant - de dvelopper de nouvelles interfaces - de crer de nouveaux outils d'automatisation A chaque tape du projet, la production de livrables sera essentielle.",950,41399386
,ING3,2013/2014,HSBC - PARIS,75419,PARIS CEDEX 8,FRANCE,Stage assistant trading exotics,1550,1573527
,ING2,2013/2014,MILKY - DIGITAL INNOVATION,75427,PARIS CEDEX 9,FRANCE,Dveloppement Ruby Extraction et traitement de donnes rseaux sociaux (Ruby et API(s)),600,2827305
,ING2,2013/2014,BNP PARIBAS,75450,PARIS CEDEX 09,FRANCE,Analyse et optimisation de la plateforme collaborative de la division du service informatique des fonctions groupe et des applications transverses chez BNP PARIBAS au sein du Service Delivery,1113,55573814
,ING2,2013/2014,BNP PARIBAS,75450,PARIS CEDEX 09,FRANCE,Activit de veille sur les technologies du Big Data,1113,95315867
,ING2,2013/2014,BNP PARIBAS,75450,PARIS CEDEX 09,FRANCE,"Mission de dveloppeur (macro VBA) au sein de l'quipe afin de raliser des outils d'aide au pilotage pour la Proxi, notamment la mise en place d'un support d'informations visant  faciliter les changes entre l'Etat Major DR et les directions de groupes au moment des points d'activit.",1148.36,72457309
,ING2,2013/2014,ORANGE,75505,PARIS CEDEX 15,FRANCE,"Mise en place d'un site web en CMS Open Source Pligg (CMS Modulaire PHP) qui gre le partage des ides de la communaut Orange, pour ensuite dvelopper les plus intressantes. - Recueil et analyse de besoins - Travail en quipe - Technologies Web",1011.77,36301321
,ING2,2013/2014,SGMAP DE MINISTRE DE L'CONOMIE ET DES FINANCES,75512,PARIS,FRANCE,- Migration d'un parc d'environ 100 machines portables PC fixes de descendre une image Windows 7 avec le pack office inclus. - Rcupration des anciennes donnes des utilisateurs et rimplantation. - Montage d'un serveur de clone sous linux avec l'outils ,436.05,14828829
,ING2,2013/2014,NATIXIS ASSET MANAGEMENT,75634,PARIS CEDEX 13,FRANCE,La mission principale du stage consistera en la conception (dfinition et implmentation) d'un outil destin  la gestion obligataire euro en regroupant les fonctionnalits de plusieurs existants actuellement indpendants. Cet outil sera un outil d'aide  la dcision dans la construction des portefeuilles modles lors des comits de gestion.,1000,6527473
,ING3,2013/2014,NATIXIS ASSET MANAGEMENT,75634,PARIS CEDEX 13,FRANCE,"Contribution au projet de repositionnement d'un fond solidaire dans le ple Impact Investing de Mirova: recherche/gestion (dfinition de l'univers d'investissement, analyse financire pour slectionner les titres en portefeuille...), et dveloppement/marketing (validation de l'intrt de la philosophie adopte avec back-tests, veille concurrentielle, pitch marketing, contribution  la mise en place d'indicateurs de suivi de l'impact...).",1400,12964526
,ING3,2013/2014,NATIXIS ASSET MANAGEMENT,75634,PARIS CEDEX 13,FRANCE,Ralisation d'une cartographie des composants de dveloppement utiliss dans les applications utilises par les mtiers de l'Affacturage du crdit-bail et des garanties et cautions,1200,94097641
,ING2,2013/2014,PACIFICA,75724,PARIS CEDEX 15,FRANCE,Charg d'tudes statistiques,750,8950676
,ING3,2013/2014,IMS FRANCE,92088,LA DFENSE CEDEX,FRANCE,Dcouverte des diffrents projets BI et participation aux projets en termes de: -Dveloppement/Paramtrage des solutions de pilotage mises en uvre chez nos clients -Rdaction de cahier des charges (spcifications fonctionnelles) - Vous pourrez tre amens  travailler sur le dveloppement de projets  dimension internationale,1400,2398069
,ING2,2013/2014,DXC TECHNOLOGY,92098,PARIS LA DEFENSE CEDEX,FRANCE,Le stagiaire participera  l'laboration et  l'excution des campagnes de tests de non rgression relatives  la monte de version de la solution de gestion de rfrentiel de donnes SDH. Ces campagnes de tests couvriront les aspects: Base de donnes (Oracle) Les modules SDH,1250,57372862
,ING2,2013/2014,DXC TECHNOLOGY,92098,PARIS LA DEFENSE CEDEX,FRANCE,"Vous devriez occuper un poste d'ingnieur d'Etudes qui consiste en : - Rdiger les spcifications techniques avec les fonctionnels - Dvelopper en fonction des besoins - Tester le bon fonctionnement de la fonction, du module ou du programme - Vrifier l'intgration du dveloppement dans l'ensemble - Rdiger ou mettre  jour la documentation - Respecter les normes et standards - Donner de la visibilit sur l'avancement des travaux",1250,1766326
,ING2,2013/2014,DXC TECHNOLOGY,92098,PARIS LA DEFENSE CEDEX,FRANCE,"En tant que consultant stagiaire, vous contribuerez au dveloppement d'application mobile sur iPad et Windows mobile au sein d'une quipe CSC charge d'un grand projet dans le domaine du transport ferroviaire.",1250,85997781
,ING3,2013/2014,DXC TECHNOLOGY,92098,PARIS LA DEFENSE CEDEX,FRANCE,"Consultant stagiaire Au sein d'une quipe CSC, en tant que consultant stagiaire, vous interviendrez sur un projet de mobilit visant  quiper d'iPad les 16000 conducteurs de train en participant aux activits suivantes: 1. Conception et dveloppement de fonctionnalits sur des technologies actuelles (iOS, dotNet, Windows Mobile, Asp.net). 2. Maintien des applications en conditions oprationnelles (corrections, volutions) avec l'ensemble de l'quipe. 3. Contribution majeure sur des tudes techniques permettant d'apporter un clairage en interne ou  notre client sur des technologies ou des concepts relatifs  la mobilit.",1550,72455973
,ING3,2013/2014,DXC TECHNOLOGY,92098,PARIS LA DEFENSE CEDEX,FRANCE,Assistance sur la conception et l'implmentation de l'offre conseil portant sur la simulation du recyclage des espces en agences.,1550,90202423
,ING3,2013/2014,DXC TECHNOLOGY,92098,PARIS LA DEFENSE CEDEX,FRANCE,"En tant que consultant stagiaire au sein du ple Conseil SAP, practice SAP Industries & Services Non Financiers, vous participerez  un projet en lien avec les systmes d'information de gestion d'entreprise, comportant notamment les activits suivantes: - Assistance au pilotage du projet, - Dveloppement des connaissances des flux mtiers et de leur application dans SAP, - Participation au droulement des tests relatifs  la modlisation des cas de gestion mtier, avec la possibilit de monter en connaissance sur les outils de tests d'intgration, de pilotage de projet et dcouverte des processus mtier de l'entreprise cliente.",1550,88549710
,ING3,2013/2014,DXC TECHNOLOGY,92098,PARIS LA DEFENSE CEDEX,FRANCE,"Consultant stagiaire au sein du ple Conseil Technologie, practice intgration.",1550,10758505
,ING2,2013/2014,AUBAY,92100,BOULOGNE BILLANCOURT,FRANCE,Dveloppement de nouvelles fonctionnalits d'une application client-serveur permettant  la direction oprationnelle de suivre l'affectation de ses collaborateurs en prestation.,900,86001209
,ING2,2013/2014,AUBAY,92100,BOULOGNE BILLANCOURT,FRANCE,"Application interne de gestion du temps de travail - Recueil des besoins, - Rdaction du cahier des charges, - Dveloppement et recette, - Dploiement, - Formation des utilisateurs Environnement JAVA/MYSQL, jquery, html5, maven",900,50333717
,ING2,2013/2014,AUBAY,92100,BOULOGNE BILLANCOURT,FRANCE,"Application de gestion du temps de travail Sous la responsabilit de la Direction Technique, et en interaction avec les services des Ressources Humaines et du Contrle de Gestion, vous serez amen  dvelopper une application interne relative  la gestion du temps de travail au sein de la socit. Dans ce cadre, vous piloterez l'ensemble des phases du projet : - recueil des besoins, - rdaction du cahier des charges, - dveloppement et recette, - dploiement, - formation des utilisateurs. Vous serez confront  un environnement JAVA/MYSQL, jquery, html5, maven. Vous devrez galement comprendre les enjeux du projet, afin d'tre force de proposition tant sur le plan technique que fonctionnel.",900,51563344
,ING3,2013/2014,AUBAY,92100,BOULOGNE BILLANCOURT,FRANCE,"Dans le cadre de nos travaux d'innovation et plus spcifiquement dans le cadre d'une offre Open Source, nous avons dcid de dvelopper une solution web pour l'aide  la gestion d'un projet dans une mthodologie agile de type Kanban. Cette solution Web doit permettre: - d'afficher un tableau de bord Kanban virtuel pour permettre  l'quipe projet de visualiser et de grer les Features et les Task du projet (cration, prise en charge, prise notes, etc.), - aux responsables projets de dfinir le mur (liste des tats), de dfinir les priorisations, de dfinir les rgles d'aide  la gestion (aide  l'affectation, contrle de charge, gestion de comptence, etc.), - aux responsables projets d'avoir un suivi statique temps rel de l'volution des Features et des Tasks, de la charge de travail des quipes, de l'efficacit des quipes.",1100,85953205
,ING3,2013/2014,AUBAY,92100,BOULOGNE BILLANCOURT,FRANCE,"Le prsent stage porte sur l'usine de dveloppement Web et de son Framework HTML5 qui doit permettre d'offrir une approche outille et simple de mise en place d'application Web dans une approche Responsive Design (gestion mutl-device PC, Table, Smartphone) tout en conservant l'aspect Accessibilit de l'application. L'objectif au travers de cette approche est de permettre une utilisation nomade des applications qu'elles soient  destination du grand public ou pour un usage intra-entreprise.",1100,39801686
,ING3,2013/2014,AUBAY,92100,BOULOGNE BILLANCOURT,FRANCE,"Le prsent stage porte sur l'usine de dveloppement Web et de son Framework HTML5 qui doit permettre d'offrir une approche outille et simple de mise en place d'application Web dans une approche Responsive Design (gestion mutl-device PC, Table, Smartphone) tout en conservant l'aspect Accessibilit de l'application. L'objectif au travers de cette approche est de permettre une utilisation nomade des applications qu'elles soient  destination du grand public ou pour un usage intra-entreprise.",1100,34322838
,ING2,2013/2014,NPA CONSEIL,92100,BOULOGNE-BILLANCOURT,FRANCE,"Le ple contenu recherche un stagiaire consultant charg d'tudes pour contribuer  : - la ralisation et au dveloppement de baromtre de rayonnements numriques des programmes et des chanes, et tout particulirement mettre en place des outils et indicateurs de prvision et de suivi de march; - consolider et dvelopper les diffrents indicateurs et baromtres, - dvelopper des outils de statistiques autour de la Social TV",850,55632228
,ING3,2013/2014,ANEO,92100,BOULOGNE,FRANCE,"Consultante en matrise d'ouvrage Finance de March : Au sein de la practice MOA, Sophie sera intgr  une quipe ANEO de 7 consultants intervenant chez un de nos clients, une grande banque d'investissement, ans l'entit Compliance IT. Elle aura la possibilit de travailler sui divers projets, tels que : Surveiller et dtecter les oprations frauduleuses sur certaines activits de la banque telles que la manipulation des cours, le dlit d'initi. Participer  l'laboration de reporting rglementaire exig par les autorits des marchs financiers AMF (France) et FCA (Angleterre). Contrler les marges commerciales prises par les vendeurs sur les oprations de diffrentes lignes mtier de la banque d'investissement.",1200,77454968
,ING2,2013/2014,BESINS HEALTHCARE FRANCE,92120,MONTROUGE,FRANCE,Cration et saisie sur Excel d'un tableur permettant la mise en conformit vis--vis d'une loi rcente rgissant les rgles de transparences des liens entre nos clients mdecins et notre structure : Conception d'une base de donnes gnrale reprenant les coordonnes des spcialistes-conceptions d'un tableau permettant d'alimenter la base.,600,41880595
,ING3,2013/2014,MORPHO - ISSY LES MOULINEAUX,92130,ISSY-LES-MOULINEAUX,FRANCE,Dtection de fraude en reconnaissance par empreinte digitale,1200,31228341
,ING2,2013/2014,BULL - LES CLAYES SOUS BOIS,78340,LES CLAYES SOUS BOIS,FRANCE,"Etudier les opportunits et contraintes de la mise en place d'un entrept de donne Big Data (solution Hadoop/Cassandra). Charg de l'tude et le prototypage d'une solution de Big Data pour les oprateurs. Cette solution aura pour objectif d'analyser l'impact des offres de l'oprateur sur les rseaux sociaux. Missions du stagiaire: Etudier la mise en place, le paramtrage d'un prototype d'un solution. Prparer une analyse sur la meilleure manire de fdrer la vision des donnes structures et non structures  des fins d'analyses. Tester les diffrents outils de requtage du march. Proposer des solutions d'analyse des donnes avec visualisation interactive.",867.25,58967205
,ING2,2013/2014,BULL - LES CLAYES SOUS BOIS,78340,LES CLAYES SOUS BOIS,FRANCE,"Etude et prototypage d'un Designer Visuel Online pour l'internet de objets (IoT) reposant sur le PaaS (Platform as a Service) de Bull. Cet outil aura pour objectif d'acclrer de faon radicale la conception, le dveloppement et la mise en production des projets relatifs  l'Internet des Objets et au Machine to Machine dans des domaines varis tels que la Maison Intelligente, l'Efficience Energtique, les Industries en transformation, la e-sant, la Ville Intelligente ou les Transports. Concevoir et mettre en uvre la solution  la manire d'un projet.",867.25,91095356
,ING3,2013/2014,AIR LIQUIDE - CENTRE DE RECHERCHE PARIS-SACLAY,78354,JOUY-EN-JOSAS,FRANCE,Data mining/big data for operations h/f,1170,56676228
,ING3,2013/2014,ALTRAN - VELIZY-VILLACOUBLAY,78457,VELIZY-VILLACOUBLAY,FRANCE,Adaptation des techniques de process mining  la spcificit du big data (process mining in the large).,1200,53654000
,ING3,2013/2014,ALTRAN - VELIZY-VILLACOUBLAY,78457,VELIZY-VILLACOUBLAY,FRANCE,Adaptation des techniques de process mining au cadre spcifique des processus de formation (profesionnelle) et en ligne.,1200,13257793
,ING2,2013/2014,VOCAL APPS,78955,CARRIERES SOUS POISSY,FRANCE,"Dveloppement d'agents conversationnels notamment dans le back end, dveloppement d'algorithmes d'intelligence artificielle notamment en C/C++",436.05,26786847
,ING2,2013/2014,THALES OPTRONIQUE - ELANCOURT,78990,ELANCOURT,FRANCE,Analyse d'outils visant  amliorer la couverture des tests,1000,43856860
